X_coordinate,Y_coordinate,state,code,name,zone,address
86.882714,21.696442,Orissa,JOL,Jogal,?,"Jogal, Orissa"
80.178833,25.520955,Uttar Pradesh,ICL,Ichauli,NCR,"Maudaha, Uttar Pradesh"
82.103635,27.101387,,MOTG,MOTIGANJ,,
82.1728778564,27.0726040433,,JLHI,JHILAHI,,
88.0246425354,25.6337383216,West Bengal,KAU,Kachna,NFR,"National Highway 34, West Bengal"
81.2487596802,26.137192375,,BBHL,Bela Bela,,
76.755147,18.55964,Maharashtra,JOA,JANWAL,SCR,"Latur, Maharashtra"
72.952369,23.745814,Gujarat,JADR,Jadar,WR,"State Highway 9, Gujarat"
73.642431,22.253213,Gujarat,JJW,Jojwa,WR,"Vadodara, Gujarat"
82.227648,27.039058,,MUR,MANKAPUR JN,,
82.2775887885,27.0276257858,,LKNR,LAKHPAT NAGAR,,
82.3597396039,27.0013792301,,MSW,MASKANWA,,
77.820053,11.39694,,ANU,ANANGUR,,
85.512918,25.160225,,POE,Pawapuri Road Halt,,
82.3961659851,26.9810021017,,SNC,S NARAYAN CHPLA,,
84.3492957776,25.2665823122,Bihar,HSB,Hasanbazar Halt,ECR,"Hasan Bazar, Bihar"
82.4273550012,26.9662637829,,BNGY,BAHMAN JYOTIA,,
82.452155,26.95565,,PATI,PARSA TEWARI,,
81.916644,25.431145,Uttar Pradesh,JI,JHUSI,NER,"NH 2, Uttar Pradesh"
82.707468,26.864223,,GOVR,GOVINDNAGAR,,
82.770059,26.815678,,BST,BASTI,,
82.830311,26.802389,,ORW,ORWARA,,
82.977636,26.782155,,CRV,CHUREB,,
74.966562,31.612827,,MOW,MANANWALA,,
75.054412,31.589979,,JNL,JANDIALA,,
75.107232,31.576426,,TRA,TANGRA,,
74.443968,27.668988,Rajasthan,JSH,Jaswantgarh,NWR,"Sujangarh, Rajasthan"
75.183274,31.556444,,BTR,BUTARI,,
75.238827,31.541835,,BBKR,BABA BAKALARAYA,,
75.2908085,31.5193738,,BEAS,BEAS,,
75.335011,31.498953,,DIW,DHILWAN,,
75.4078429907,31.4659508779,,RYM,RAMIDI HALT,,
83.299798,26.881072,Uttar Pradesh,JKI,Kauriaa Jungle,?,"National Highway 29, Uttar Pradesh"
75.432702,31.45628,,HMR,HAMIRA,,
75.492544,31.432388,,KRE,KARTARPUR,,
75.541964,31.380553,,SRX,SURA NUSSI,,
